P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Ts Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
1RXS 1609 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4451.16,19.04,0.64,12.28,15.29,    4.079751e-06,11.4,,2870.4,-10.06,36.81,,330.0,0.0,330.0,1RXS 1609,Sco,K7V,0.73,1.35,4060.0,0.44428500000000004,0.011000000000000001,145.0,16.1583,-21.0828,1,0,0.54,1.3619999999999999,800.07,23.51,85.62,0.0,0.05,0,0,1,Imaging,      2008.00
1SWASP J1407 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,10.94,4.86,53.12,24.11,      0.02166914,97.7,,30873.8,-18.21,20.91,3725.0,3.9,0.0,3.9,1SWASP J1407,Cen,K,0.9,0.99,4400.0,0.329588,0.016,133.0,14.13,-39.7619,1,0,0.461,1.143,9.07,15.3,45.41,0.02,0.07,0,0,1,Primary Transit,      2012.00
2M 0103-55(AB) b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4133.22,11.4,2.79,31.79,19.04,    3.961934e-06,11.4,,11520.8,-8.91,21.8,,84.0,0.0,84.0,2M 0103-55(AB),Phe,M,0.4,0.38,3840.0,0.027955,0.03,47.2,1.06,-55.2656,1,0,0.136,0.34700000000000003,793.67,12.57,107.44,0.0,0.06,0,0,1,Imaging,      2013.00
2M 0122-24 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,11.2,4.53,50.69,23.83,    1.033854e-05,14.4,,28780.4,-9.92,21.41,,52.0,0.0,52.0,2M 0122-24,Cet,M3.5,0.4,0.38,3840.0,0.027955,0.12,36.0,1.3808,-24.6142,1,0,0.136,0.34700000000000003,490.45,15.72,119.46,0.0,0.08,0,0,1,Imaging,      2013.00
2M 0219-39 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4419.37,16.13,1.05,16.99,16.55,    2.368772e-07,5.6,,4655.6,-6.6,31.03,,156.0,0.0,156.0,2M 0219-39,For,M6,0.11,0.27,3064.0,0.005765,,39.4,2.3228,-39.4231,1,0,0.062,0.165,3028.82,19.46,133.25,0.0,0.06,0,0,1,Imaging,      2015.00
2M 0441+23 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2384.55,11.66,1.5,17.53,14.3,    1.264487e-07,4.8,,3585.2,-5.21,22.3,,15.0,0.0,15.0,2M 0441+23,Tau,M8.5,0.02,0.01,3840.0,2.8000000000000003e-05,0.001,140.0,4.6958,23.0308,1,0,0.004,0.011000000000000001,4453.14,10.21,124.39,0.0,0.07,0,0,1,Imaging,      2010.00
2M 0746+20 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9538.2,10.86,7.44,80.81,29.63,    2.291890e-05,16.8,,70951.8,-10.87,20.76,4640.0,2.897,0.49,2.53,2M 0746+20,Gem,,0.12,0.09,2205.0,0.000168,,12.21,7.7786,20.0089,1,0,0.011000000000000001,0.028999999999999998,325.42,20.19,132.41,0.0,0.08,0,0,1,Imaging,      2010.00
2M 1207-39 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1271.76,11.66,0.8,9.36,10.44,    2.736194e-08,3.3,,1020.6,-3.53,22.3,,46.0,0.0,46.0,2M 1207-39,Cen,M8,0.03,0.02,3840.0,5.7999999999999994e-05,0.008,52.4,12.1258,-39.5483,1,0,0.006,0.016,9575.68,8.56,109.81,0.0,0.08,0,0,1,Imaging,      2004.00
2M 1938+46 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,604.09,11.21,0.43,4.81,7.34,       0.1531191,159.4,,259.4,-20.4,21.42,416.0,0.92,0.0,0.92,2M 1938+46,Cyg,sdB+M,0.6,,,0.1296,,,19.6425,46.0664,1,0,,,2.51,7.35,9.51,0.08,0.24,0,0,1,Pulsar,      2015.00
2M 2140+16 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,10.3,5.81,59.89,24.84,    2.086658e-05,17.0,,36960.1,-10.54,19.68,7340.0,3.53,0.26,3.41,2M 2140+16,Peg,,0.08,0.1,2300.0,0.000251,,25.0,21.6747,16.4217,1,0,0.013000000000000001,0.035,316.89,14.27,113.5,0.0,0.08,0,0,1,Imaging,      2010.00
