pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra,dec,st_dist,st_teff,st_mass,st_rad
11 Com b,Radial Velocity,1,326.03,1.29,0.231,19.4,,185.179276,17.792868,93.37,4742.0,2.7,19.0
11 UMi b,Radial Velocity,1,516.21997,1.53,0.08,14.74,,229.27453599999998,71.823898,125.72,4213.0,2.78,29.79
14 And b,Radial Velocity,1,185.84,0.83,0.0,4.8,,352.822571,39.236198,75.59,4813.0,2.2,11.0
14 Her b,Radial Velocity,1,1773.40002,2.93,0.37,4.66,,242.60130299999997,43.817646,17.94,5338.0,0.9,0.93
16 Cyg B b,Radial Velocity,1,798.5,1.66,0.68,1.78,,295.466553,50.517525,21.41,5750.0,1.08,1.13
18 Del b,Radial Velocity,1,993.3,2.6,0.08,10.3,,314.608063,10.839286,76.38,4979.0,2.3,8.5
1RXS J160929.1-210524 b,Imaging,1,,330.0,,8.0,,242.376268,-21.083036,145.0,4060.0,0.85,
24 Boo b,Radial Velocity,1,30.3506,0.19,0.042,0.91,,217.15754700000002,49.844852,96.25,4893.0,0.99,10.64
24 Sex b,Radial Velocity,2,452.8,1.333,0.09,1.99,,155.86821,-0.902244,72.21,5098.0,1.54,4.9
24 Sex c,Radial Velocity,2,883.0,2.08,0.29,0.86,,155.86821,-0.902244,72.21,5098.0,1.54,4.9
2MASS J01225093-2439505 b,Imaging,1,,52.0,,24.5,,20.712243,-24.664049,36.0,3530.0,0.4,
2MASS J02192210-3925225 b,Imaging,1,,156.0,,13.9,1.44,34.842106,-39.422928000000006,39.4,3064.0,0.11,0.28
2MASS J04414489+2301513 b,Imaging,1,,15.0,,7.5,,70.437073,23.030941000000002,140.0,,0.02,
2MASS J12073346-3932539 b,Imaging,1,,46.0,,4.0,,181.889447,-39.548332,52.4,,0.02,
2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416.0,0.92,,1.9,,294.63586499999997,46.066418,396.36,,0.48,
2MASS J21402931+1625183 A b,Imaging,1,7336.5,,0.26,20.95,0.92,325.122159,16.421758999999998,25.0,2300.0,0.08,0.12
2MASS J22362452+4751425 b,Imaging,1,,230.0,,12.5,,339.102203,47.86182,74.0,4045.0,0.6,
30 Ari B b,Radial Velocity,1,335.10001,0.99,0.29,13.82,,39.240584999999996,24.648064,44.71,6331.0,1.93,1.41
4 UMa b,Radial Velocity,1,269.3,0.87,0.432,7.1,,130.053406,64.327934,73.58,4415.0,1.23,18.11
42 Dra b,Radial Velocity,1,479.1,1.19,0.38,3.88,,276.496399,65.563484,90.86,4200.0,0.98,22.03
47 UMa b,Radial Velocity,3,1078.0,2.1,0.032,2.53,,164.86656200000002,40.430256,13.8,5892.0,1.03,1.23
47 UMa c,Radial Velocity,3,2391.0,3.6,0.098,0.54,,164.86656200000002,40.430256,13.8,5892.0,1.03,1.23
47 UMa d,Radial Velocity,3,14002.0,11.6,0.16,1.64,,164.86656200000002,40.430256,13.8,5892.0,1.03,1.23
51 Eri b,Imaging,1,,13.2,,2.0,,69.40055100000001,-2.473548,29.4,,1.75,
51 Peg b,Radial Velocity,1,4.230785,0.0527,0.013,0.472,,344.366577,20.768832999999997,15.47,5793.0,1.12,1.2
55 Cnc b,Radial Velocity,5,14.65152,0.115227,0.0034,0.8306,,133.149216,28.330818,12.59,5196.0,0.91,0.94
55 Cnc c,Radial Velocity,5,44.4175,0.24137600000000003,0.02,0.1714,,133.149216,28.330818,12.59,5196.0,0.91,0.94
55 Cnc d,Radial Velocity,5,4825.0,5.503,0.019,3.878,,133.149216,28.330818,12.59,5196.0,0.91,0.94
55 Cnc e,Radial Velocity,5,0.736539,0.01544,,0.025419999999999998,0.17,133.149216,28.330818,12.59,5196.0,0.91,0.94
55 Cnc f,Radial Velocity,5,262.0,0.788,0.305,0.141,,133.149216,28.330818,12.59,5196.0,0.91,0.94
6 Lyn b,Radial Velocity,1,934.3,2.11,0.073,2.01,,97.696281,58.162631999999995,54.74,4938.0,1.44,5.2
61 Vir b,Radial Velocity,3,4.215,0.050200999999999996,0.12,0.016,,199.601318,-18.311195,8.51,5577.0,0.94,0.96
61 Vir c,Radial Velocity,3,38.021,0.2175,0.14,0.057,,199.601318,-18.311195,8.51,5577.0,0.94,0.96
61 Vir d,Radial Velocity,3,123.01,0.476,0.35,0.072,,199.601318,-18.311195,8.51,5577.0,0.94,0.96
7 CMa b,Radial Velocity,1,796.0,1.93,0.22,2.46,,99.17099,-19.255878,19.82,4792.0,1.52,2.3
70 Vir b,Radial Velocity,1,116.688,0.481,0.3988,7.416,,202.107544,13.778788,17.91,5495.0,1.09,1.89
75 Cet b,Radial Velocity,1,691.9,2.1,0.117,3.0,,38.039253,-1.0348959999999998,83.15,4846.0,2.49,10.5
8 UMi b,Radial Velocity,1,93.4,0.49,0.06,1.31,,224.201477,74.900925,159.1,4847.0,1.44,10.3
81 Cet b,Radial Velocity,1,952.7,2.5,0.206,5.3,,39.424168,-3.396175,101.53,4785.0,2.4,11.0
91 Aqr b,Radial Velocity,1,181.4,0.7,0.027,3.2,,348.9729,-9.087736999999999,44.08,4665.0,1.4,11.0
AB Pic b,Imaging,1,,260.0,,13.5,,94.803802,-58.05431,50.12,,,
BD+03 2562 b,Radial Velocity,1,481.9,1.3,0.2,6.4,,177.564804,2.7601419999999997,2618.0,4095.0,1.14,32.35
BD+14 4559 b,Radial Velocity,1,268.94,0.78,0.29,1.04,,318.399963,14.689387,49.42,4864.0,0.49,0.86
BD+15 2375 b,Radial Velocity,1,153.22,0.576,0.001,1.061,,176.482174,14.616381,774.0,4649.0,1.08,8.95
BD+15 2940 b,Radial Velocity,1,137.48,0.539,0.26,1.11,,240.09556600000002,15.54693,431.61,4796.0,1.1,14.7
BD+20 2457 b,Radial Velocity,2,379.63,1.05,0.15,55.59,,154.18691,19.891409,200.0,4259.0,10.83,71.02
BD+20 2457 c,Radial Velocity,2,621.99,2.01,0.18,12.47,,154.18691,19.891409,200.0,4259.0,10.83,71.02
BD+20 274 b,Radial Velocity,1,578.2,1.3,0.21,4.2,,25.920324,21.005314000000002,1383.85,4296.0,0.8,17.3
BD+20 594 b,Transit,1,41.6855,,0.0,0.07,0.23,53.650967,20.599232,180.39,5766.0,1.67,1.08
BD+48 738 b,Radial Velocity,1,392.6,1.0,0.2,0.91,,40.710224,49.58696,892.17,4414.0,0.74,11.0
BD+48 740 b,Radial Velocity,1,733.0,1.7,0.76,1.7,,40.742569,48.930061,678.94,4534.0,1.09,10.33
BD+49 828 b,Radial Velocity,1,2590.0,4.2,0.35,1.6,,45.640529,49.730011,447.59,4943.0,1.52,7.6
BD-06 1339 b,Radial Velocity,2,3.8728,0.0428,0.0,0.027,,88.251183,-5.9948440000000005,20.28,4324.0,0.7,
BD-06 1339 c,Radial Velocity,2,125.94,0.435,0.31,0.17,,88.251183,-5.9948440000000005,20.28,4324.0,0.7,
BD-08 2823 b,Radial Velocity,2,5.6,0.06,0.15,0.04,,150.198837,-9.516680000000001,41.38,4816.0,0.5,0.71
BD-08 2823 c,Radial Velocity,2,237.6,0.68,0.19,0.33,,150.198837,-9.516680000000001,41.38,4816.0,0.5,0.71
BD-10 3166 b,Radial Velocity,1,3.48777,0.04,0.02,0.59,,164.620003,-10.770375999999999,80.0,5393.0,1.47,0.91
BD-11 4672 b,Radial Velocity,1,1667.0,2.28,0.05,0.53,,278.370148,-11.636039,27.3,4475.0,0.57,0.52
BD-13 2130 b,Radial Velocity,1,714.29999,1.66,0.21,9.78,,114.288458,-13.906639000000002,766.0,4545.0,2.12,19.17
BD-17 63 b,Radial Velocity,1,655.59998,1.34,0.54,2.85,,7.142942,-16.226345000000002,34.49,4665.0,0.31,0.74
CFBDSIR J145829+101343 b,Imaging,1,10037.5,2.6,,10.5,,224.620833,10.228611,23.1,580.5,0.02,
CHXR 73 b,Imaging,1,,210.0,,12.569,,166.619893,-77.625877,191.05,,0.35,
CT Cha b,Imaging,1,,440.0,,17.0,2.2,166.037877,-76.455383,165.0,,,
CoRoT-1 b,Transit,1,1.5089557,,0.0,1.03,1.49,102.079885,-3.102147,805.31,5950.0,0.95,1.11
CoRoT-10 b,Transit,1,13.2406,0.1055,0.53,2.75,0.97,291.063708,0.746143,345.0,5075.0,0.89,0.79
CoRoT-11 b,Transit,1,2.99433,0.0436,0.0,2.33,1.43,280.687263,5.937688,560.0,6440.0,1.27,1.37
CoRoT-12 b,Transit,1,2.828042,0.04016,0.07,0.917,1.44,100.765677,-1.296439,1150.0,5675.0,1.08,1.12
CoRoT-13 b,Transit,1,4.03519,0.051,0.0,1.308,0.885,102.721137,-5.086444999999999,1060.0,5945.0,1.09,1.01
CoRoT-14 b,Transit,1,1.51214,0.027,0.0,7.6,1.09,103.424211,-5.536037,1340.0,6035.0,1.13,1.21
CoRoT-16 b,Transit,1,5.35227,0.0618,0.33,0.535,1.17,278.524691,-6.0025949999999995,840.0,5650.0,1.1,1.19
CoRoT-17 b,Transit,1,3.7681,0.0461,0.0,2.43,1.02,278.699254,-6.612234,920.0,5740.0,1.04,1.59
CoRoT-18 b,Transit,1,1.9000693,0.0295,0.08,3.47,1.31,98.17241,-0.031586,870.0,5440.0,0.95,1.0
