,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SurfaceTempK,RightAscension,Declination,star_solar_mass,star_solar_radius,star_temp,ListsPlanetIsOn
0,HD 143761 b,0,1.045,,39.8458,,16 01 03,+33 18 13,0.889,1.3619999999999999,5627.0,Confirmed planets
1,HD 143761 c,0,0.079,,102.54,,16 01 03,+33 18 13,0.889,1.3619999999999999,5627.0,Confirmed planets
2,KOI-1843.03,0,0.0014,0.054000000000000006,0.17689129999999997,,19 00 03.14,+40 13 14.7,0.46,0.45,3584.0,Controversial
3,KOI-1843.01,0,,0.114,4.194525,,19 00 03.14,+40 13 14.7,0.46,0.45,3584.0,Controversial
4,KOI-1843.02,0,,0.071,6.356006,,19 00 03.14,+40 13 14.7,0.46,0.45,3584.0,Controversial
5,Kepler-9 b,0,0.25,0.84,19.22418,707.2,19 02 17,+38 24 03,1.07,1.02,5777.0,Confirmed planets
6,Kepler-9 c,0,0.17,0.82,39.03106,557.9,19 02 17,+38 24 03,1.07,1.02,5777.0,Confirmed planets
7,Kepler-9 d,0,0.022000000000000002,0.147,1.592851,1601.5,19 02 17,+38 24 03,1.07,1.02,5777.0,Confirmed planets
8,GJ 160.2 b,0,0.0321,,5.2354,,04 06 34.84136,-20 51 11.2391,0.69,,4347.0,Controversial
9,Kepler-566 b,0,,0.192,18.42794624,,19 26 13,+47 48 52,0.83,0.79,5132.0,Confirmed planets
10,WASP-124 b,0,0.6,1.24,3.37265,1400.0,22 10 51.43,-30 44 58.8,1.07,,6050.0,Confirmed planets
11,HD 240210 b,0,5.21,,501.75,,23 10 29.2303,+57 01 46.035,0.82,,4297.0,Confirmed planets
12,OGLE-05-390L b,0,0.017,,3500.0,,17 54 19,-30 22 38,0.22,,3840.0,Confirmed planets
13,Kepler-1343 b,0,,0.172,3.35183158,,19 37 11,+50 43 31,0.95,0.93,5759.0,Confirmed planets
14,Kepler-1011 b,0,,0.256,5.75322197,,19 49 36,+46 49 26,0.91,0.88,5416.0,Confirmed planets
