,rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,period_days,koi_duration,koi_prad,koi_teq,koi_steff,koi_srad,right_ascension,declination
0,1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0,9.48803557,2.9575,2.26,793.0,5455.0,0.927,291.93422999999996,48.141651
1,2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,54.4183827,4.507,2.83,443.0,5455.0,0.927,291.93422999999996,48.141651
2,3,10811496,K00753.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,19.89913995,1.7822,14.6,638.0,5853.0,0.868,297.00482,48.134128999999994
3,4,10848459,K00754.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,1.7369524530000002,2.4064099999999997,33.46,1395.0,5805.0,0.791,285.53461,48.28521
4,5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0,2.525591777,1.6545,2.75,1406.0,6031.0,1.046,288.75487999999996,48.2262
5,6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0,11.09432054,4.5945,3.9,835.0,6046.0,0.972,296.28612999999996,48.22467
6,7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0,4.13443512,3.1402,2.77,1160.0,6046.0,0.972,296.28612999999996,48.22467
7,8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,2.56658897,2.429,1.59,1360.0,6046.0,0.972,296.28612999999996,48.22467
8,9,6721123,K00114.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,7.36178958,5.022,39.21,1342.0,6227.0,1.958,298.86435,42.151569
9,10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0,16.06864674,3.5347,5.76,600.0,5031.0,0.848,286.99948,48.37579
10,11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,2.470613377,1.7431900000000002,13.04,1339.0,5820.0,0.964,286.80847,49.316399
11,12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0,2.2047354169999998,3.88864,16.1,2048.0,6440.0,1.952,292.24728,47.969521
12,13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,3.5224984289999997,3.19843,14.59,1521.0,6225.0,1.451,281.28812,42.45108
13,14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0,3.709214104,2.6302,1.16,1206.0,5833.0,1.022,295.64871,48.49556
14,15,10419211,K00742.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,11.521446064000001,3.6399,150.51,753.0,5795.0,0.848,297.07993,47.597401
15,16,10464078,K00743.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,19.40393776,12.2155,7.18,523.0,5043.0,0.68,289.25821,47.635319
16,17,10480982,K00744.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,19.221388942,4.798430000000001,49.29,698.0,6117.0,0.947,295.81453999999997,47.69035
17,18,10485250,K00745.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,16.46983774,9.4378,7.94,595.0,5152.0,0.786,297.15442,47.668701
18,19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.0,9.27358173,3.2875,2.47,649.0,4856.0,0.696,288.13824,47.724449
19,20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0,6.02930329,1.5821,2.85,678.0,4537.0,0.672,283.71088,47.86327
20,21,10583180,K00748.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,2.6963706519999997,3.6129,1.58,1066.0,4989.0,0.819,283.76547,47.804297999999996
21,22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1.0,5.349553819,3.0278,2.55,919.0,5185.0,0.91,292.37613,47.880989
22,23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,3.94105221,2.5984,1.7,1018.0,5185.0,0.91,292.37613,47.880989
23,24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.971,8.10904807,3.596,1.3,800.0,5185.0,0.91,292.37613,47.880989
24,25,2306756,K00113.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,386.6030528,6.8057,41.5,297.0,5543.0,1.58,292.27374,37.671558000000005
25,26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1.0,21.67699193,3.4555,2.95,530.0,4954.0,0.828,290.46512,47.92918
26,27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0,4.99677968,2.1717,2.78,917.0,5339.0,0.847,297.80826,47.946671
27,28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1.0,4.280963604,2.875,2.3,1012.0,5644.0,0.831,294.26581,49.314091
28,29,11463211,K00770.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,1.50635409,1.5155,4.53,1452.0,5714.0,0.831,295.66522000000003,49.351009000000005
29,30,11465813,K00771.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,670.645531,53.412,14.14,196.0,5520.0,0.983,296.69861000000003,49.316479
30,31,11493732,K00772.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,61.2563628,7.633,39.87,505.0,6144.0,1.091,283.72592000000003,49.479519
31,32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1.0,38.3775486,5.588,2.82,529.0,5481.0,1.036,291.72202000000004,49.480869
32,33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.992,41.19725502,4.6297,3.86,439.0,5031.0,0.848,286.99948,48.37579
33,34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1.0,6.252962248999999,2.5819,2.65,823.0,5031.0,0.848,286.99948,48.37579
34,35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1.0,16.01308419,3.2554,3.1,593.0,5015.0,0.826,297.02563,48.478588
35,36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1.0,32.62876672,4.7971,3.36,506.0,5586.0,0.798,285.71854,48.505859
36,37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.978,91.7732862,6.473,2.12,359.0,5586.0,0.798,285.71854,48.505859
37,38,11138155,K00760.01,0,CANDIDATE,CANDIDATE,1.0,4.959319244,2.22739,12.21,1103.0,5712.0,1.082,292.16705,48.727589
38,39,11152159,K00761.01,0,FALSE POSITIVE,FALSE POSITIVE,0.0,2.7012878010000003,3.3827,6.54,1222.0,5550.0,0.91,297.92365,48.777321
39,40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1.0,4.49876511,3.7362,2.1,1133.0,6075.0,0.969,298.45685,48.791592
