kepoi_name,disposition,pdisposition,orb_period,impact,duration,depth,prad,teq,insol,steff,slogg,srad,right_ascension,declination
K00752.01,CONFIRMED,CANDIDATE,9.48803557,0.146,2.9575,615.8,2.26,793.0,93.59,5455.0,4.467,0.927,291.93422999999996,48.141651
K00752.02,CONFIRMED,CANDIDATE,54.4183827,0.586,4.507,874.8,2.83,443.0,9.11,5455.0,4.467,0.927,291.93422999999996,48.141651
K00755.01,CONFIRMED,CANDIDATE,2.525591777,0.701,1.6545,603.3,2.75,1406.0,926.16,6031.0,4.438,1.046,288.75487999999996,48.2262
K00756.01,CONFIRMED,CANDIDATE,11.09432054,0.538,4.5945,1517.5,3.9,835.0,114.81,6046.0,4.486000000000001,0.972,296.28612999999996,48.22467
K00756.02,CONFIRMED,CANDIDATE,4.13443512,0.762,3.1402,686.0,2.77,1160.0,427.65,6046.0,4.486000000000001,0.972,296.28612999999996,48.22467
K00756.03,CONFIRMED,CANDIDATE,2.56658897,0.755,2.429,226.5,1.59,1360.0,807.74,6046.0,4.486000000000001,0.972,296.28612999999996,48.22467
K00114.01,FALSE POSITIVE,FALSE POSITIVE,7.36178958,1.169,5.022,233.7,39.21,1342.0,767.22,6227.0,3.986,1.958,298.86435,42.151569
K00757.01,CONFIRMED,CANDIDATE,16.06864674,0.052,3.5347,4914.3,5.76,600.0,30.75,5031.0,4.485,0.848,286.99948,48.37579
K00112.02,CONFIRMED,CANDIDATE,3.709214104,0.051,2.6302,131.1,1.16,1206.0,500.46,5833.0,4.407,1.022,295.64871,48.49556
K00746.01,CONFIRMED,CANDIDATE,9.27358173,0.387,3.2875,1288.3,2.47,649.0,41.85,4856.0,4.583,0.696,288.13824,47.724449
K00747.01,CONFIRMED,CANDIDATE,6.02930329,0.258,1.5821,1912.7,2.85,678.0,50.04,4537.0,4.648,0.672,283.71088,47.86327
K00748.01,FALSE POSITIVE,FALSE POSITIVE,2.6963706519999997,0.044,3.6129,397.9,1.58,1066.0,305.34,4989.0,4.504,0.819,283.76547,47.804297999999996
K00749.01,CONFIRMED,CANDIDATE,5.349553819,0.092,3.0278,831.0,2.55,919.0,168.99,5185.0,4.44,0.91,292.37613,47.880989
K00749.02,CONFIRMED,CANDIDATE,3.94105221,0.226,2.5984,363.3,1.7,1018.0,253.15,5185.0,4.44,0.91,292.37613,47.880989
K00749.03,CONFIRMED,CANDIDATE,8.10904807,0.025,3.596,217.4,1.3,800.0,97.03,5185.0,4.44,0.91,292.37613,47.880989
K00750.01,CONFIRMED,CANDIDATE,21.67699193,0.896,3.4555,857.2,2.95,530.0,18.64,4954.0,4.5,0.828,290.46512,47.92918
K00751.01,CONFIRMED,CANDIDATE,4.99677968,0.71,2.1717,934.7,2.78,917.0,166.95,5339.0,4.552,0.847,297.80826,47.946671
K00769.01,CONFIRMED,CANDIDATE,4.280963604,0.424,2.875,750.8,2.3,1012.0,247.87,5644.0,4.564,0.831,294.26581,49.314091
K00770.01,FALSE POSITIVE,FALSE POSITIVE,1.50635409,0.86,1.5155,2211.7,4.53,1452.0,1054.12,5714.0,4.563,0.831,295.66522000000003,49.351009000000005
K00772.01,FALSE POSITIVE,FALSE POSITIVE,61.2563628,1.248,7.633,5123.3,39.87,505.0,15.43,6144.0,4.402,1.091,283.72592000000003,49.479519
K00773.01,CONFIRMED,CANDIDATE,38.3775486,0.468,5.588,724.2,2.82,529.0,18.53,5481.0,4.369,1.036,291.72202000000004,49.480869
K00757.02,CONFIRMED,CANDIDATE,41.19725502,0.045,4.6297,2213.9,3.86,439.0,8.76,5031.0,4.485,0.848,286.99948,48.37579
K00757.03,CONFIRMED,CANDIDATE,6.252962248999999,0.105,2.5819,1036.9,2.65,823.0,108.3,5031.0,4.485,0.848,286.99948,48.37579
K00758.01,CONFIRMED,CANDIDATE,16.01308419,0.799,3.2554,1121.9,3.1,593.0,29.31,5015.0,4.499,0.826,297.02563,48.478588
K00759.01,CONFIRMED,CANDIDATE,32.62876672,0.021,4.7971,1804.8,3.36,506.0,15.55,5586.0,4.56,0.798,285.71854,48.505859
