id	month	year	mean_proportion_wet	reproductive_status	offshore
23980	3	2017	0	n	no
23980	1	2017	0	n	no
23980	2	2017	0	n	no
23882	1	2017	0.107986129032258	y	no
23882	3	2017	0.0881077956989247	y	no
23882	4	2017	0.0684654059405941	n	no
23882	2	2017	0.0628285714285714	y	no
23732	2	2017	0.123887708333333	n	no
23732	1	2017	0	n	no
23732	4	2017	0.186505259515571	n	no
23732	3	2017	0.100932190860215	n	no
23500	4	2017	0.0593530102040816	n	yes
23500	3	2017	0.0240300537634409	y	yes
23500	2	2017	0.0191832291666667	y	yes
23500	1	2017	0.011148064516129	y	yes
23479	1	2017	0.0365632123655914	y	no
23479	2	2017	0.0211689880952381	y	no
23479	3	2017	0.011539152	y	no
26265	4	2016	0.0269822348484848	n	yes
26265	5	2016	0.073962809139785	n	yes
26265	6	2016	0.0682178220858896	n	yes
26263	7	2016	0.0346490994623656	n	no
26263	8	2016	0.000205685131195335	n	no
26263	4	2016	0.0983915398550725	n	no
26263	6	2016	0.0762713888888889	n	no
26263	5	2016	0.0480220295698925	n	no
26256	1	2016	0	n	yes
26256	2	2016	0.0366222270114943	n	yes
26256	3	2016	0.0785201478494624	n	yes
26256	4	2016	0.0806759708029197	NA	yes
26243	1	2016	0.0360351747311828	c	yes
26243	4	2016	0.0672415	NA	yes
26243	2	2016	0.0266341522988506	c	yes
26243	3	2016	0.011043938172043	c	yes
26243	8	2016	0.00964040322580645	NA	yes
26243	9	2016	0.0117878055555556	NA	yes
26243	5	2016	0.0509465725806452	NA	yes
26243	6	2016	0.153036833333333	NA	yes
26243	7	2016	0.0647009811827957	NA	yes
26241	5	2016	0.094373185483871	NA	yes
26241	11	2016	0	NA	yes
26241	7	2016	0.0984939247311828	NA	yes
26241	6	2016	0.188751888888889	NA	yes
26241	1	2016	0.012058252688172	n	yes
26241	2	2016	0.0556547844827586	n	yes
26241	3	2016	0.0660344758064516	n	yes
26241	4	2016	0.0652828055555556	NA	yes
26241	9	2016	2.6625e-05	NA	yes
26241	8	2016	0.00963993279569893	NA	yes
26241	10	2016	0	NA	yes
26225	5	2016	0.0853824596774194	n	yes
26225	4	2016	0.0458664215686275	n	yes
26225	7	2016	0.0699376478873239	n	yes
26225	6	2016	0.144245847222222	n	yes
26175	4	2016	0.0376464673913043	n	NA
26175	5	2016	0.0457320698924731	n	NA
26175	6	2016	0.057450676056338	n	NA
26165	5	2016	0.00934860215053764	NA	no
26165	7	2016	0.126708091397849	NA	no
26165	9	2016	0.0149018333333333	NA	no
26165	10	2016	0.00625670698924731	NA	no
26165	11	2016	0.0407615577889447	NA	no
26165	6	2016	0.023448375	NA	no
26165	1	2016	0	n	no
26165	2	2016	1.91666666666667e-05	n	no
26165	8	2016	0.108925577956989	NA	no
26165	4	2016	0.0810945416666667	NA	no
26165	3	2016	0.0279780376344086	n	no
26117	2	2016	0.060790316091954	c	yes
26117	1	2016	0.0468340860215054	c	yes
26117	3	2016	0.0331943010752688	c	yes
26117	4	2016	0.0745109166666667	NA	yes
26117	5	2016	0.0773140188172043	NA	yes
26084	4	2016	0.0184213293650794	c	no
26084	6	2016	0.0198758208955224	c	no
26084	5	2016	0.0152487634408602	c	no
26018	11	2016	0.0348576315789474	NA	yes
26018	7	2016	0.0966433467741935	NA	yes
26018	5	2016	0.00694221774193548	NA	yes
26018	6	2016	0.088198125	NA	yes
26018	2	2016	0.00890522988505747	c	yes
26018	3	2016	0.00681864247311828	c	yes
26018	8	2016	0.00955122311827957	NA	yes
26018	4	2016	0.0131180694444444	NA	yes
26018	9	2016	0.0374261388888889	NA	yes
26018	1	2016	0.00580387096774194	c	yes
26018	10	2016	0.0377895564516129	NA	yes
23980	5	2016	0.0467480585424134	n	no
23980	9	2016	0.139270833333333	n	no
23980	7	2016	0.289419056152927	n	no
23980	4	2016	0.0446080779054917	n	no
23980	10	2016	0	n	no
23980	6	2016	0.153441358024691	n	no
23980	11	2016	0	n	no
23980	2	2016	0.189030862068966	y	no
23980	12	2016	0	n	no
23980	8	2016	0.0836282855436081	n	no
23980	3	2016	0.0857251568100358	y	no
23980	1	2016	0.112791290322581	y	no
23979	5	2016	0.069165564516129	n	no
23979	4	2016	0.0268782209469154	n	no
23979	1	2016	0.000125430107526882	n	no
23979	8	2016	0.120465094086022	n	no
23979	10	2016	0.0109803465346535	n	no
23979	7	2016	0.19747061827957	n	no
23979	3	2016	0.0151475134408602	n	no
23979	9	2016	0.193692083333333	n	no
23979	2	2016	0.00340227011494253	n	no
23979	6	2016	0.195628583333333	n	no
23952	3	2016	0.077830497311828	n	no
23952	4	2016	0.0748490629575403	n	no
23952	2	2016	0.0492050574712644	n	no
23952	1	2016	0.0138485080645161	n	no
23940	6	2016	0.0858418472222222	n	no
23940	7	2016	0.0872130422535211	n	no
23940	4	2016	0.0240046180555556	n	no
23940	5	2016	0.0416211290322581	n	no
23940	8	2016	0.0383307465277778	n	no
23937	1	2016	0.033915770609319	NA	no
23937	2	2016	0.0486829501915709	NA	no
23937	3	2016	0.0319780465949821	NA	no
23935	3	2016	0.0331424725274725	c	no
23935	2	2016	0.0453225574712644	c	no
23935	1	2016	0.0250787768817204	c	no
23882	11	2016	0.107389652777778	y	no
23882	5	2016	0.00573290322580645	y	no
23882	9	2016	0.162581	y	no
23882	10	2016	0.0465863844086022	y	no
23882	12	2016	0.140898642473118	y	no
23882	8	2016	0.151206747311828	y	no
23882	7	2016	0.162467137096774	y	no
23882	4	2016	0.00618956302521008	y	no
23882	6	2016	0.0895042222222222	y	no
23881	1	2016	0	NA	no
23881	4	2016	0.00197222222222222	n	no
23881	2	2016	0	NA	no
23881	3	2016	0	NA	no
23811	4	2016	0.0662990196078431	n	no
23811	3	2016	0.031432945041816	c	no
23811	2	2016	0.084191411238825	c	no
23811	1	2016	0.0376493428912784	c	no
23803	2	2016	7.16954022988506e-06	n	no
23803	1	2016	0.000370376344086022	n	no
23803	5	2016	0.00145891966759003	c	no
23803	4	2016	0.00562721407624633	c	no
23803	3	2016	0.00854940860215054	n	no
23732	10	2016	4.92876344086021e-05	n	no
23732	6	2016	0.136867263888889	n	no
23732	2	2016	0.06754625	c	no
23732	9	2016	0.0838005833333333	n	no
23732	8	2016	0.00392845430107527	n	no
23732	11	2016	2.31944444444444e-06	n	no
23732	12	2016	0.000365510752688172	n	no
23732	1	2016	0.0928678225806452	c	no
23732	3	2016	0.0838924596774194	c	no
23732	5	2016	0.0590696102150538	n	no
23732	7	2016	0.134292768817204	n	no
23732	4	2016	0.0855679340028694	n	no
23689	10	2016	0.0100481182795699	n	no
23689	6	2016	0.0684313611111111	n	no
23689	1	2016	1.82930107526882e-05	c	no
23689	8	2016	0.0094567876344086	n	no
23689	11	2016	0.00174531428571429	n	no
23689	9	2016	0.0832549166666667	n	no
23689	2	2016	0.0162356034482759	c	no
23689	5	2016	0.0350955376344086	n	no
23689	4	2016	0.0223846551724138	n	no
23689	7	2016	0.07332875	n	no
23689	3	2016	0.020577997311828	c	no
23688	1	2016	0	n	no
23688	2	2016	0	n	no
23688	3	2016	4.14381720430107e-05	n	no
23688	4	2016	0.00258721664275466	c	no
23688	6	2016	0.0115177162629758	c	no
23688	5	2016	0.00340533602150538	c	no
23500	4	2016	0.0267331994261119	y	yes
23500	1	2016	0.0130895564516129	c	yes
23500	7	2016	0.0561788037634409	y	yes
23500	3	2016	0.0225515322580645	c	yes
23500	6	2016	0.0156304722222222	y	yes
23500	5	2016	0.0684919758064516	y	yes
23500	8	2016	0.126996344086022	y	yes
23500	2	2016	0.0321715373563218	c	yes
23500	11	2016	0.00101968055555556	y	yes
23500	10	2016	0.00753397849462366	y	yes
23500	12	2016	0.00160469086021505	y	yes
23500	9	2016	0.0101246111111111	y	yes
23479	5	2016	0.00815334677419355	y	no
23479	9	2016	0.356136097222222	y	no
23479	6	2016	0.0578425833333333	y	no
23479	11	2016	0.243345680555556	y	no
23479	10	2016	0.292989032258064	y	no
23479	1	2016	0.0573642204301075	c	no
23479	7	2016	0.183140416666667	y	no
23479	4	2016	0.00835075	y	no
23479	12	2016	0.140101478494624	y	no
23479	3	2016	0.00745143817204301	c	no
23479	8	2016	0.240922836021505	y	no
23479	2	2016	0.00760020114942529	c	no
26257	9	2015	0.0108321111111111	c	yes
26257	10	2015	0.0162848669796557	c	yes
26257	8	2015	0.0977048563218391	c	yes
26256	8	2015	0.0869398850574713	n	yes
26256	9	2015	0.00642551388888889	n	yes
26256	11	2015	0	n	yes
26256	10	2015	1.49327956989247e-05	n	yes
26256	12	2015	0	n	yes
26243	4	2015	0.00524875	c	yes
26243	9	2015	0.00106055555555556	c	yes
26243	10	2015	0.00838712365591398	c	yes
26243	11	2015	0.0113653194444444	c	yes
26243	12	2015	0.0128468548387097	c	yes
26243	5	2015	0.0126250268817204	c	yes
26243	6	2015	0.0170481666666667	c	yes
26243	7	2015	0.0456335483870968	c	yes
26243	8	2015	0.0315255241935484	c	yes
26241	12	2015	0.0595025672043011	n	yes
26241	7	2015	0.105890846774194	n	yes
26241	6	2015	0.104306958333333	n	yes
26241	4	2015	0.0419703125	n	yes
26241	5	2015	0.123341747311828	n	yes
26241	8	2015	0.0656292876344086	n	yes
26241	9	2015	0.006008875	n	yes
26241	10	2015	0.0113858870967742	n	yes
26241	11	2015	0.0470187083333333	n	yes
26165	8	2015	0.110802083333333	n	no
26165	5	2015	0.0372922580645161	n	no
26165	10	2015	0.0699247311827957	n	no
26165	11	2015	0.000152777777777778	n	no
26165	12	2015	0	n	no
26165	6	2015	0.0162977916666667	n	no
26165	7	2015	0.121874126344086	n	no
26165	9	2015	0.0288935972222222	n	no
26165	4	2015	0.0356406770833333	n	no
26117	5	2015	0.010161747311828	c	yes
26117	8	2015	0.0532127419354839	c	yes
26117	9	2015	0.00577469444444444	c	yes
26117	12	2015	0.0288178225806452	c	yes
26117	4	2015	0.00809246794871795	c	yes
26117	7	2015	0.0184765591397849	c	yes
26117	6	2015	0.0189089722222222	c	yes
26117	11	2015	2.69444444444444e-06	c	yes
26117	10	2015	0.00232114247311828	c	yes
26113	8	2015	0.0680009946236559	n	no
26113	7	2015	0.0501706317204301	n	no
26113	4	2015	0.0535773958333333	n	no
26113	5	2015	0.0676659811827957	n	no
26113	6	2015	0.042221125	n	no
26113	9	2015	0.00414809722222222	n	no
26113	10	2015	0.00265066864784547	n	no
26018	7	2015	0.0287050940860215	c	yes
26018	10	2015	0.01219375	c	yes
26018	11	2015	0.000316347222222222	c	yes
26018	8	2015	0.0624381451612903	c	yes
26018	4	2015	0.00390953703703704	c	yes
26018	5	2015	0.0128745698924731	c	yes
26018	6	2015	0.0440616388888889	c	yes
26018	9	2015	0.0848148333333333	c	yes
26018	12	2015	0.00745587365591398	c	yes
23980	12	2015	0.0890020161290323	y	no
23980	9	2015	0.167439930555556	y	no
23980	6	2015	0.117715388888889	y	no
23980	8	2015	0.155499811827957	y	no
23980	7	2015	0.230061706989247	y	no
23980	4	2015	0.0392379924242424	y	no
23980	10	2015	0.0872327419354839	y	no
23980	11	2015	0.0478632638888889	y	no
23980	5	2015	0.0705494892473118	y	no
23979	4	2015	0.0215277884615385	n	no
23979	6	2015	0.251861694444444	n	no
23979	10	2015	0.146136572580645	n	no
23979	5	2015	0.0428936693548387	n	no
23979	11	2015	0.0458175277777778	n	no
23979	12	2015	0.0124648387096774	n	no
23979	7	2015	0.15593376344086	n	no
23979	8	2015	0.126992056451613	n	no
23979	9	2015	0.151574125	n	no
23952	6	2015	0.0317584166666667	n	no
23952	4	2015	0.0356414660493827	n	no
23952	5	2015	0.0522001478494624	n	no
23952	10	2015	0.00389407258064516	n	no
23952	7	2015	0.103715793010753	n	no
23952	11	2015	0	n	no
23952	8	2015	0.0313463172043011	n	no
23952	12	2015	0	n	no
23952	9	2015	0.00531444444444444	n	no
23939	5	2015	0.0112392204301075	c	no
23939	6	2015	0.0917850833333333	c	no
23939	9	2015	0.019203110670194	c	no
23939	4	2015	0.0104821759259259	c	no
23939	7	2015	0.170249784946237	c	no
23939	8	2015	0.12253251344086	c	no
23937	1	2015	0	y	no
23937	9	2015	0.0333989197530864	NA	no
23937	11	2015	0.0693865740740741	NA	no
23937	7	2015	0.105238201911589	NA	no
23937	2	2015	0	y	no
23937	6	2015	0.0372492283950617	NA	no
23937	10	2015	0.0223678315412186	NA	no
23937	8	2015	0.0399268219832736	NA	no
23937	12	2015	0.0482825567502987	NA	no
23937	3	2015	0	y	no
23937	5	2015	0.00144115890083632	NA	no
23937	4	2015	1.92901234567901e-05	NA	no
23935	11	2015	0.00114465277777778	c	no
23935	12	2015	0.0038795564516129	c	no
23935	10	2015	0.00669576612903226	c	no
23935	6	2015	0.00270288888888889	c	no
23935	5	2015	0.00649552419354839	c	no
23935	9	2015	0.0742280694444444	c	no
23935	7	2015	0.0162189247311828	c	no
23935	8	2015	0.0726157258064516	c	no
23881	6	2015	0.133391203703704	NA	no
23881	10	2015	0.174406362007168	NA	no
23881	7	2015	0.07978270609319	NA	no
23881	3	2015	0.00328927718040621	c	no
23881	5	2015	0.0396542712066906	NA	no
23881	11	2015	0.0804050925925926	NA	no
23881	12	2015	0	NA	no
23881	9	2015	0.100570987654321	NA	no
23881	8	2015	0.169862604540024	NA	no
23881	2	2015	0.00112020502645503	c	no
23881	1	2015	0.0123581242532855	c	no
23881	4	2015	0.00456018518518519	NA	no
23872	5	2015	0.00930958333333333	c	no
23872	9	2015	0.00775038888888889	c	no
23872	10	2015	0.00337663978494624	c	no
23872	8	2015	0.024341626344086	c	no
23872	6	2015	0.0231148333333333	c	no
23872	7	2015	0.0238937365591398	c	no
23872	11	2015	0	c	no
23811	10	2015	0.242211357526882	c	no
23811	7	2015	0.161213172043011	c	no
23811	11	2015	0.206827041666667	c	no
23811	5	2015	0.0114176478494624	c	no
23811	9	2015	0.175217138888889	c	no
23811	6	2015	0.027879625	c	no
23811	12	2015	0.107315413679809	c	no
23811	8	2015	0.150806626344086	c	no
23803	11	2015	0.00133641666666667	n	no
23803	5	2015	0.0345010483870968	n	no
23803	7	2015	0.063304314516129	n	no
23803	10	2015	0.000790376344086022	n	no
23803	6	2015	0.0803885972222222	n	no
23803	9	2015	0.000387722222222222	n	no
23803	4	2015	0.00525972222222222	n	no
23803	12	2015	0	n	no
23803	8	2015	0.00333443548387097	n	no
23732	10	2015	0.147915134408602	c	no
23732	11	2015	0.141034430555556	c	no
23732	9	2015	0.180679388888889	c	no
23732	6	2015	0.00861190277777778	c	no
23732	8	2015	0.127731021505376	c	no
23732	7	2015	0.134495161290323	c	no
23732	5	2015	0.00554514784946237	c	no
23732	12	2015	0.0704789650537634	c	no
23689	11	2015	1.89027777777778e-05	c	no
23689	9	2015	0.0633250416666667	c	no
23689	6	2015	0.0494835972222222	c	no
23689	8	2015	0.0238648655913978	c	no
23689	10	2015	0.0113133333333333	c	no
23689	7	2015	0.067512311827957	c	no
23689	12	2015	0	c	no
23689	5	2015	0.0135594220430108	c	no
23689	4	2015	0.00425547222222222	c	no
23688	8	2015	0.0601580376344086	n	no
23688	4	2015	0.00423844444444444	n	no
23688	7	2015	0.135627177419355	n	no
23688	12	2015	0.000162405913978495	n	no
23688	10	2015	0.0246549596774194	n	no
23688	6	2015	0.0671814722222222	n	no
23688	5	2015	0.0263825403225806	n	no
23688	9	2015	0.0101762638888889	n	no
23688	11	2015	0.0180415	n	no
23500	7	2015	0.0147464784946237	c	yes
23500	4	2015	0.00294087053571429	c	yes
23500	9	2015	0.00831902777777778	c	yes
23500	5	2015	0.010508561827957	c	yes
23500	8	2015	0.0263350940860215	c	yes
23500	11	2015	0.000355305555555556	c	yes
23500	6	2015	0.00888348611111111	c	yes
23500	12	2015	0.00085013440860215	c	yes
23500	10	2015	0.00385153225806452	c	yes
23479	10	2015	0.244557983870968	c	no
23479	8	2015	0.138342271505376	c	no
23479	6	2015	0.00906405555555556	c	no
23479	12	2015	0.0321068279569892	c	no
