id	dtime	proportion_wet	ice_concentration
23500	2015-04-17T02:00:00Z	0	82
23500	2015-04-17T04:00:00Z	0	82
23500	2015-04-17T06:00:00Z	0	82
23500	2015-04-17T08:00:00Z	0.009445	82
23500	2015-04-17T10:00:00Z	0.01653	82
23500	2015-04-17T12:00:00Z	0	82
23500	2015-04-17T14:00:00Z	0	82
23500	2015-04-17T16:00:00Z	0	82
23500	2015-04-17T18:00:00Z	0	82
23500	2015-04-17T20:00:00Z	0	82
23500	2015-04-17T22:00:00Z	0.002085	82
23500	2015-04-18T00:00:00Z	0	82
23500	2015-04-18T02:00:00Z	0	69
23500	2015-04-18T04:00:00Z	0.101665	69
23500	2015-04-18T06:00:00Z	0	69
23500	2015-04-18T08:00:00Z	0	69
23500	2015-04-18T10:00:00Z	0	90
23500	2015-04-18T12:00:00Z	0	90
23500	2015-04-18T14:00:00Z	0	90
23500	2015-04-18T16:00:00Z	0	90
23500	2015-04-18T18:00:00Z	0	90
23500	2015-04-18T20:00:00Z	0.004165	90
23500	2015-04-18T22:00:00Z	0	90
23500	2015-04-19T00:00:00Z	0	88
23500	2015-04-19T02:00:00Z	0	88
23500	2015-04-19T04:00:00Z	0	81
23500	2015-04-19T06:00:00Z	0	81
23500	2015-04-19T08:00:00Z	0	81
23500	2015-04-19T10:00:00Z	0	81
23500	2015-04-19T12:00:00Z	0	81
23500	2015-04-19T14:00:00Z	0	81
23500	2015-04-19T16:00:00Z	0	81
23500	2015-04-19T18:00:00Z	0	81
23500	2015-04-19T20:00:00Z	0	81
23500	2015-04-19T22:00:00Z	0.000695	88
23500	2015-04-20T00:00:00Z	0	90
23500	2015-04-20T02:00:00Z	0	90
23500	2015-04-20T04:00:00Z	0	90
23500	2015-04-20T06:00:00Z	0	90
23500	2015-04-20T08:00:00Z	0	90
23500	2015-04-20T10:00:00Z	0	90
23500	2015-04-20T12:00:00Z	0	90
23500	2015-04-20T14:00:00Z	0	90
23500	2015-04-20T16:00:00Z	0.065	82
23500	2015-04-20T18:00:00Z	0	82
23500	2015-04-20T20:00:00Z	0.00111	82
23500	2015-04-20T22:00:00Z	0	82
23500	2015-04-21T00:00:00Z	0	83
23500	2015-04-21T02:00:00Z	0	83
23500	2015-04-21T04:00:00Z	0	83
23500	2015-04-21T06:00:00Z	0	83
23500	2015-04-21T08:00:00Z	0	83
23500	2015-04-21T10:00:00Z	0	83
23500	2015-04-21T12:00:00Z	0	83
23500	2015-04-21T14:00:00Z	0	83
23500	2015-04-21T16:00:00Z	0	83
23500	2015-04-21T18:00:00Z	0.00139	83
23500	2015-04-21T20:00:00Z	0	83
23500	2015-04-21T22:00:00Z	0	83
23500	2015-04-22T00:00:00Z	0	84
23500	2015-04-22T02:00:00Z	0	90
23500	2015-04-22T04:00:00Z	0	90
23500	2015-04-22T06:00:00Z	0	90
23500	2015-04-22T08:00:00Z	0.000835	90
23500	2015-04-22T10:00:00Z	0	90
23500	2015-04-22T12:00:00Z	0.020555	90
23500	2015-04-22T14:00:00Z	0	90
23500	2015-04-22T16:00:00Z	0	90
23500	2015-04-22T18:00:00Z	0	90
23500	2015-04-22T20:00:00Z	0	90
23500	2015-04-22T22:00:00Z	0	90
23500	2015-04-23T00:00:00Z	0	90
23500	2015-04-23T02:00:00Z	0	90
23500	2015-04-23T04:00:00Z	0.020695	90
23500	2015-04-23T06:00:00Z	0.011945	90
23500	2015-04-23T08:00:00Z	0.00278	90
23500	2015-04-23T10:00:00Z	0	90
23500	2015-04-23T12:00:00Z	0	90
23500	2015-04-23T14:00:00Z	0	90
23500	2015-04-23T16:00:00Z	0	90
23500	2015-04-23T18:00:00Z	0	90
23500	2015-04-23T20:00:00Z	0	90
23500	2015-04-23T22:00:00Z	0	90
23500	2015-04-24T00:00:00Z	0	90
23500	2015-04-24T02:00:00Z	0	90
23500	2015-04-24T04:00:00Z	0	90
23500	2015-04-24T06:00:00Z	0	90
23500	2015-04-24T08:00:00Z	0	90
23500	2015-04-24T10:00:00Z	0	90
23500	2015-04-24T12:00:00Z	0	90
23500	2015-04-24T14:00:00Z	0	90
23500	2015-04-24T16:00:00Z	0	90
23500	2015-04-24T18:00:00Z	0	90
23500	2015-04-24T20:00:00Z	0	90
23500	2015-04-24T22:00:00Z	0	90
23500	2015-04-25T00:00:00Z	0.04097	90
23500	2015-04-25T02:00:00Z	0.054445	90
23500	2015-04-25T04:00:00Z	0	90
23500	2015-04-25T06:00:00Z	0	90
23500	2015-04-25T08:00:00Z	0	90
23500	2015-04-25T10:00:00Z	0	90
23500	2015-04-25T12:00:00Z	0	90
23500	2015-04-25T14:00:00Z	0	90
23500	2015-04-25T16:00:00Z	0	90
23500	2015-04-25T18:00:00Z	0	90
23500	2015-04-25T20:00:00Z	0	90
23500	2015-04-25T22:00:00Z	0	90
23500	2015-04-26T00:00:00Z	0	92
23500	2015-04-26T02:00:00Z	0.02111	92
23500	2015-04-26T04:00:00Z	0.00153	92
23500	2015-04-26T06:00:00Z	0	92
23500	2015-04-26T08:00:00Z	0	92
23500	2015-04-26T10:00:00Z	0	92
23500	2015-04-26T12:00:00Z	0	92
23500	2015-04-26T14:00:00Z	0	92
23500	2015-04-26T16:00:00Z	0	92
23500	2015-04-26T18:00:00Z	0	92
23500	2015-04-26T20:00:00Z	0	92
23500	2015-04-26T22:00:00Z	0	92
23500	2015-04-27T00:00:00Z	0	90
23500	2015-04-27T02:00:00Z	0	90
23500	2015-04-27T04:00:00Z	0	90
23500	2015-04-27T06:00:00Z	0	90
23500	2015-04-27T08:00:00Z	0	90
23500	2015-04-27T10:00:00Z	0	90
23500	2015-04-27T12:00:00Z	0	90
23500	2015-04-27T14:00:00Z	0	90
23500	2015-04-27T16:00:00Z	0	90
23500	2015-04-27T18:00:00Z	0	90
23500	2015-04-27T20:00:00Z	0	90
23500	2015-04-27T22:00:00Z	0	90
23500	2015-04-28T00:00:00Z	0	92
23500	2015-04-28T02:00:00Z	0	92
23500	2015-04-28T04:00:00Z	0	92
23500	2015-04-28T06:00:00Z	0	92
23500	2015-04-28T08:00:00Z	0	92
23500	2015-04-28T10:00:00Z	0	92
23500	2015-04-28T12:00:00Z	0	92
23500	2015-04-28T14:00:00Z	0	92
23500	2015-04-28T16:00:00Z	0	92
23500	2015-04-28T18:00:00Z	0	92
23500	2015-04-28T20:00:00Z	0.015415	92
23500	2015-04-28T22:00:00Z	0	92
23500	2015-04-29T00:00:00Z	0	92
23500	2015-04-29T02:00:00Z	0	92
23500	2015-04-29T04:00:00Z	0.000835	92
23500	2015-04-29T06:00:00Z	0	92
23500	2015-04-29T08:00:00Z	0	92
23500	2015-04-29T10:00:00Z	0	92
23500	2015-04-29T12:00:00Z	0	92
23500	2015-04-29T14:00:00Z	0	92
23500	2015-04-29T16:00:00Z	0	92
23500	2015-04-29T18:00:00Z	0	92
23500	2015-04-29T20:00:00Z	0	92
23500	2015-04-29T22:00:00Z	0	92
23500	2015-04-30T00:00:00Z	0	93
23500	2015-04-30T02:00:00Z	0	93
23500	2015-04-30T04:00:00Z	0	93
23500	2015-04-30T06:00:00Z	0	93
23500	2015-04-30T08:00:00Z	0	93
23500	2015-04-30T10:00:00Z	0	93
23500	2015-04-30T12:00:00Z	0.00722	93
23500	2015-04-30T14:00:00Z	0	93
23500	2015-04-30T16:00:00Z	0	93
23500	2015-04-30T18:00:00Z	0	93
23500	2015-04-30T20:00:00Z	0	93
23500	2015-04-30T22:00:00Z	0.155415	93
23500	2015-05-01T00:00:00Z	0	94
23500	2015-05-01T02:00:00Z	0	94
23500	2015-05-01T04:00:00Z	0.00361	94
23500	2015-05-01T06:00:00Z	0	96
23500	2015-05-01T08:00:00Z	0	94
23500	2015-05-01T10:00:00Z	0	94
23500	2015-05-01T12:00:00Z	0.000835	94
23500	2015-05-01T14:00:00Z	0	94
23500	2015-05-01T16:00:00Z	0.034165	94
23500	2015-05-01T18:00:00Z	0.23486	94
23500	2015-05-01T20:00:00Z	0	94
23500	2015-05-01T22:00:00Z	0	94
23500	2015-05-02T00:00:00Z	0	96
23500	2015-05-02T02:00:00Z	0.002915	93
23500	2015-05-02T04:00:00Z	1	93
23500	2015-05-02T06:00:00Z	0.50222	93
23500	2015-05-02T08:00:00Z	0.117915	93
23500	2015-05-02T10:00:00Z	0	93
23500	2015-05-02T12:00:00Z	0	93
23500	2015-05-02T14:00:00Z	0	93
23500	2015-05-02T16:00:00Z	0	93
23500	2015-05-02T18:00:00Z	0	93
23500	2015-05-02T20:00:00Z	0	93
23500	2015-05-02T22:00:00Z	0	93
23500	2015-05-03T00:00:00Z	0	93
23500	2015-05-03T02:00:00Z	0	93
23500	2015-05-03T04:00:00Z	0	93
23500	2015-05-03T06:00:00Z	0	93
23500	2015-05-03T08:00:00Z	0	93
23500	2015-05-03T10:00:00Z	0	93
23500	2015-05-03T12:00:00Z	0	93
23500	2015-05-03T14:00:00Z	0	93
23500	2015-05-03T16:00:00Z	0	93
23500	2015-05-03T18:00:00Z	0.00778	94
23500	2015-05-03T20:00:00Z	0	94
23500	2015-05-03T22:00:00Z	0	94
23500	2015-05-04T00:00:00Z	0	89
23500	2015-05-04T02:00:00Z	0	89
23500	2015-05-05T18:00:00Z	0.001805	66
23500	2015-05-05T20:00:00Z	0	66
23500	2015-05-05T22:00:00Z	0	90
23500	2015-05-06T00:00:00Z	0	90
23500	2015-05-06T02:00:00Z	0	90
23500	2015-05-06T04:00:00Z	0	90
23500	2015-05-06T06:00:00Z	0	90
23500	2015-05-06T08:00:00Z	0	90
23500	2015-05-06T10:00:00Z	0	90
23500	2015-05-06T12:00:00Z	0	90
23500	2015-05-06T14:00:00Z	0.022225	90
23500	2015-05-06T16:00:00Z	0.01514	90
23500	2015-05-06T18:00:00Z	0.057085	90
23500	2015-05-06T20:00:00Z	0	90
23500	2015-05-06T22:00:00Z	0	90
23500	2015-05-07T00:00:00Z	0.008335	93
23500	2015-05-07T02:00:00Z	0	93
23500	2015-05-07T04:00:00Z	0.025835	93
23500	2015-05-07T06:00:00Z	0.000695	93
23500	2015-05-07T08:00:00Z	0	93
23500	2015-05-07T10:00:00Z	0	93
23500	2015-05-07T12:00:00Z	0.00153	93
23500	2015-05-07T14:00:00Z	0	93
23500	2015-05-07T16:00:00Z	0	93
23500	2015-05-07T18:00:00Z	0	93
23500	2015-05-07T20:00:00Z	0	93
23500	2015-05-07T22:00:00Z	0	93
23500	2015-05-08T00:00:00Z	0	94
23500	2015-05-08T02:00:00Z	0	94
23500	2015-05-08T04:00:00Z	0	94
23500	2015-05-08T06:00:00Z	0	94
23500	2015-05-08T08:00:00Z	0	94
23500	2015-05-08T10:00:00Z	0	94
23500	2015-05-08T12:00:00Z	0	94
23500	2015-05-08T14:00:00Z	0	94
23500	2015-05-08T16:00:00Z	0	94
23500	2015-05-08T18:00:00Z	0	94
23500	2015-05-08T20:00:00Z	0.00125	94
23500	2015-05-08T22:00:00Z	0.000695	94
23500	2015-05-09T00:00:00Z	0	94
23500	2015-05-09T02:00:00Z	0	94
23500	2015-05-09T04:00:00Z	0	94
