p_mass,p_radius,p_period,p_semi_major_axis,p_eccentricity,p_angular_distance,p_impact_parameter,s_ra,s_dec,s_mag,s_distance,s_metallicity,s_mass,s_radius,s_temperature,s_log_g,p_hill_sphere,p_distance,p_periastron,p_apastron,p_distance_eff,p_flux,p_temp_equil,p_type,s_radius_est,s_ra_h,s_ra_t,s_dec_t,s_luminosity,s_snow_line,s_abio_zone,s_tidal_lock,p_habzone_opt,p_habzone_con,p_type_temp,p_habitable,p_esi,p_radius_est,p_mass_est,p_semi_major_axis_est
6165.8633,,326.03,1.29,0.231,13.8,,185.17928,17.792868,4.74,93.37,-0.35,2.7,19.0,4742.0,2.31,0.13067063,1.3244178,0.99201,1.58799,1.2987592,101.01141,799.44963,Jovian,19.0,12.345286,12 20 43.0286,+17 47 34.3248,163.5468,34.529063,0.47646024,0.64240028,0,0,Hot,0,0.083813263,12.082709,6165.8633,1.29
4684.7848,,516.21997,1.53,0.08,12.2,,229.27454,71.823898,5.016,125.72,-0.02,2.78,29.79,4213.0,1.93,0.16755064,1.5348959999999998,1.4076,1.6524,1.5312267,107.35118,819.07569,Jovian,29.79,15.284970000000001,15 17 05.8915,+71 49 26.0328,250.49294,42.732816,0.19389083,0.64868332,0,0,Hot,0,0.082414476,12.229641,4684.7848,1.53
1525.5744,,185.84,0.83,0.0,11.0,,352.82257000000004,39.236198,5.227,75.59,-0.24,2.2,11.0,4813.0,2.63,0.073485255,0.83,0.83,0.83,0.83000002,84.446427,772.30746,Jovian,11.0,23.521506,23 31 17.4215,+39 14 10.3128,58.175143999999996,20.593611,0.50275224,0.60001028,0,0,Hot,0,0.081917127,12.848516,1525.5744,0.83
1481.0785,,1773.4,2.93,0.37,163.0,,242.6013,43.817646,6.61,17.94,0.41,0.9,0.93,5338.0,4.45,0.217991,3.1305585,1.8459,4.0141,2.9825498,0.078886561,131.38423999999998,Jovian,0.93,16.173420999999998,16 10 24.3158,+43 49 03.5256,0.62917118,2.1416484000000002,0.91975583,0.44541547,0,0,Cold,0,0.14524062,12.865261,1481.0785,2.93
565.73385,,798.5,1.66,0.68,78.5,,295.46655,50.517525,6.25,21.15,0.06,1.08,1.13,5750.0,4.36,0.042832432999999996,2.043792,0.5312,2.7888,1.7748696,0.61897215,202.22783,Jovian,1.13,19.697771,19 41 51.9764,+50 31 03.0900,1.2505956,3.019411,1.9836585,0.47332457,1,1,Warm,0,0.36862709,13.421748999999998,565.73385,1.66
3273.6284,,993.3,2.6,0.08,34.0,,314.60806,10.839286,5.506,76.38,-0.052,2.3,8.5,4979.0,2.82,0.26914123,2.60832,2.392,2.808,2.6020847000000003,5.9039479,396.65045,Jovian,8.5,20.973872,20 58 25.9391,+10 50 21.4296,39.782769,17.029868,0.67864811,0.60896698,0,0,Hot,0,0.21617437,12.424038000000001,3273.6284,2.6
2542.624,,,330.0,,2280.0,,242.37627,-21.083036,,145.0,,0.85,,4060.0,,47.561283,330.0,330.0,330.0,330.00001000000003,,,Jovian,,16.158419,16 09 30.3074,-21 04 58.9296,,,0.10042903,0.14012839,0,0,,0,,12.56295,2542.624,330.0
289.22348,,30.3506,0.19,0.042,1.97,,217.15755,49.844852,5.58,96.25,-0.77,0.99,10.64,4893.0,2.42,0.012081025,0.19016758,0.18202,0.19798,0.19004195,1611.9403,1613.7579,Jovian,10.64,14.477170999999998,14 28 37.8140,+49 50 41.4672,58.139697,20.587335999999997,0.4420258,0.49217655,0,0,Hot,0,0.065684936,13.823873999999998,289.22348,0.19
632.47773,,452.8,1.333,0.09,18.5,,155.86821,-0.902244,6.441,72.21,-0.03,1.54,4.9,5098.0,3.5,0.09019135699999999,1.3383987,1.2130299999999998,1.45297,1.3343533,8.2108078,430.60545999999994,Jovian,4.9,10.391214999999999,10 23 28.3724,+00 54 08.0784,14.530485999999998,10.292096,0.72838944,0.48748251,0,0,Hot,0,0.17730446,13.35605,632.47773,1.333
273.33207999999996,,883.0,2.08,0.29,28.8,,155.86821,-0.902244,6.441,72.21,-0.03,1.54,4.9,5098.0,3.5,0.083016328,2.167464,1.4768,2.6832,2.1024946,3.5093722,343.04216,Jovian,4.9,10.391214999999999,10 23 28.3724,+00 54 08.0784,14.530485999999998,10.292096,0.72838944,0.48748251,0,0,Hot,0,0.2724776,13.858291,273.33207999999996,2.08
