P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
1RXS 1609 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4451.16,19.04,0.64,12.28,4.079751e-06,11.4,-10.06,,330.0,0.0,0.73,1.35,4060.0,16.1583,-21.0828,1,0,800.07,23.51,85.62,0.0,0.05,0,0,1,Imaging,2008.0
1SWASP J1407 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,10.94,4.86,53.12,0.02166914,97.7,-18.21,3725.0,3.9,0.0,0.9,0.99,4400.0,14.13,-39.7619,1,0,9.07,15.3,45.41,0.02,0.07,0,0,1,Primary Transit,2012.0
2M 0103-55(AB) b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4133.22,11.4,2.79,31.79,3.961934e-06,11.4,-8.91,,84.0,0.0,0.4,0.38,3840.0,1.06,-55.2656,1,0,793.67,12.57,107.44,0.0,0.06,0,0,1,Imaging,2013.0
2M 0122-24 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,11.2,4.53,50.69,1.033854e-05,14.4,-9.92,,52.0,0.0,0.4,0.38,3840.0,1.3808,-24.6142,1,0,490.45,15.72,119.46,0.0,0.08,0,0,1,Imaging,2013.0
2M 0219-39 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4419.37,16.13,1.05,16.99,2.3687720000000002e-07,5.6,-6.6,,156.0,0.0,0.11,0.27,3064.0,2.3228,-39.4231,1,0,3028.82,19.46,133.25,0.0,0.06,0,0,1,Imaging,2015.0
2M 0441+23 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2384.55,11.66,1.5,17.53,1.264487e-07,4.8,-5.21,,15.0,0.0,0.02,0.01,3840.0,4.6958,23.0308,1,0,4453.14,10.21,124.39,0.0,0.07,0,0,1,Imaging,2010.0
2M 0746+20 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9538.2,10.86,7.44,80.81,2.29189e-05,16.8,-10.87,4640.0,2.897,0.49,0.12,0.09,2205.0,7.7786,20.0089,1,0,325.42,20.19,132.41,0.0,0.08,0,0,1,Imaging,2010.0
2M 1207-39 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1271.76,11.66,0.8,9.36,2.7361939999999998e-08,3.3,-3.53,,46.0,0.0,0.03,0.02,3840.0,12.1258,-39.5483,1,0,9575.68,8.56,109.81,0.0,0.08,0,0,1,Imaging,2004.0
2M 1938+46 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,604.09,11.21,0.43,4.81,0.1531191,159.4,-20.4,416.0,0.92,0.0,0.6,,,19.6425,46.0664,1,0,2.51,7.35,9.51,0.08,0.24,0,0,1,Pulsar,2015.0
2M 2140+16 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,10.3,5.81,59.89,2.086658e-05,17.0,-10.54,7340.0,3.53,0.26,0.08,0.1,2300.0,21.6747,16.4217,1,0,316.89,14.27,113.5,0.0,0.08,0,0,1,Imaging,2010.0
2M 2206-20 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9538.2,14.56,3.09,44.99,1.649645e-05,16.2,-11.0,8686.0,4.48,0.0,0.13,0.11,2350.0,22.1064,-20.785,1,0,347.42,27.82,121.07,0.0,0.06,0,0,1,Imaging,2010.0
2M 2236+4751 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,3974.25,11.43,2.66,30.4,7.434049e-07,7.5,-7.09,,230.0,0.0,0.6,0.25,5150.0,22.6069,47.8619,1,0,2122.87,12.37,130.05,0.0,0.06,0,0,1,Imaging,2016.0
2MASS J1450-7841 Ab,Cold,Jovian,gas,hydrogen-rich,non-habitable,12717.6,9.75,13.73,133.83,1.556766e-09,1.6,-0.02,,300.0,0.0,0.04,0.03,3840.0,14.8447,-78.6939,1,0,40152.3,22.78,550.24,0.0,0.04,0,0,1,Imaging,2017.0
