P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Year
5.09,1.66,1.1,1.84,296.5414,1054.4,-24.5,4.21,0.12,0.95,0.94,5531.0,13.3067,-18.3111,3,0,-2.35,-0.15,-0.69,0.29,0.27,0,0,1,2009.0
1.14,1.09,0.89,0.97,308.7997,1068.0,-23.61,3.24,0.0,0.93,0.86,5214.0,14.6597,-60.8375,1,0,-2.33,-0.17,-1.12,0.28,0.3,0,0,1,2012.0
228.92,13.33,0.1,1.29,215.0617,975.6,-28.68,9.2,0.0,1.1,1.15,6190.0,6.8131,-0.6728,1,0,-2.36,9.61,0.84,0.09,0.07,0,0,1,2008.0
148.48,14.9,0.04,0.67,716.9039,1316.3,-30.24,4.04,0.09,1.0,1.19,6100.0,6.7519,0.8153,1,0,-2.42,11.74,-0.05,0.08,0.06,0,0,1,2008.0
13.56,4.08,0.2,0.81,257.5857,1017.9,-26.31,3.7,0.12,0.93,0.87,5313.0,6.7303,-1.0628,2,0,-2.32,2.98,-0.63,0.21,0.24,0,0,1,2009.0
68.62,6.37,0.26,1.69,89.25756,783.1,-26.12,6.21,0.0,0.88,0.77,5080.0,19.4392,1.4267,1,0,-2.23,3.79,0.54,0.18,0.14,0,0,1,2010.0
291.55,16.13,0.07,1.12,720.3788,1318.7,-30.42,2.83,0.07,1.08,1.12,5675.0,6.7178,-1.2964,1,0,-2.4,12.09,0.53,0.07,0.06,0,0,1,2010.0
415.87,9.91,0.43,4.23,439.5414,1166.5,-28.82,4.04,0.0,1.09,1.01,5945.0,6.8481,-5.0864,1,0,-2.39,6.07,1.94,0.13,0.09,0,0,1,2010.0
12.2,4.88,0.11,0.51,170.6929,919.8,-26.24,9.76,0.08,1.1,1.14,5939.0,18.7111,6.225,1,0,-2.33,4.45,-0.72,0.16,0.16,0,0,1,2011.0
5.72,3.7,0.11,0.42,127.0374,855.3,-25.31,5.11,0.0,0.91,0.86,4950.0,6.795,-3.7194,2,0,-2.25,3.79,-0.91,0.18,0.19,0,0,1,2011.0
27.98,4.93,0.23,1.15,41.48158,646.6,-24.72,11.76,0.0,0.91,0.86,4950.0,6.795,-3.7194,2,0,-2.13,3.15,0.08,0.21,0.18,0,0,1,2011.0
85.84,12.1,0.05,0.59,506.1459,1208.4,-29.41,4.86,0.0,1.09,1.19,6040.0,18.7086,6.5139,1,0,-2.4,9.82,-0.25,0.09,0.08,0,0,1,2012.0
153.88,10.7,0.13,1.35,575.0889,1247.1,-29.28,5.21,0.05,1.01,1.78,5150.0,18.5792,5.5739,1,0,-2.35,7.43,0.35,0.11,0.08,0,0,1,2012.0
270.25,10.08,0.26,2.66,366.9896,1113.7,-28.66,2.85,0.08,0.98,0.9,5260.0,18.5936,6.4797,1,0,-2.34,6.35,1.27,0.13,0.09,0,0,1,2012.0
267.07,16.35,0.06,1.0,1004.513,1434.2,-30.81,4.63,0.02,1.25,2.15,5370.0,6.3214,-4.4222,1,0,-2.38,12.38,0.33,0.07,0.06,0,0,1,2017.0
47.69,6.38,0.18,1.17,141.0992,878.1,-26.62,6.72,0.0,1.09,0.79,5970.0,6.6797,9.2575,1,0,-2.32,4.27,0.05,0.17,0.13,0,0,1,2017.0
3.57,2.65,0.19,0.51,2.6463240000000003,324.9,-20.37,30.95,0.0,0.61,0.59,3880.0,8.9629,21.4536,1,0,-1.32,2.44,-0.49,0.26,0.55,0,0,1,2017.0
4.31,1.59,1.07,1.7,16.15,510.7,-21.22,9.32,0.0,0.64,0.6,4043.0,22.6869,-14.489,2,0,-1.91,-0.15,-0.32,0.34,0.35,0,0,1,2015.0
8.68,1.92,1.24,2.37,8.198087,431.1,-20.89,15.5,0.0,0.64,0.6,4043.0,22.6869,-14.489,2,0,-1.75,-0.14,0.25,0.36,0.4,0,0,1,2015.0
4.29,2.81,0.19,0.54,2.8597919999999997,331.3,-20.58,32.65,0.0,0.65,0.63,3940.0,12.1089,-5.8274,1,0,-1.35,2.48,-0.42,0.26,0.52,0,0,1,2017.0
12.05,2.74,0.58,1.6,576.2495,1244.9,-26.32,5.66,0.12,1.13,1.52,5830.0,11.6008,-2.5208,1,0,-2.4,0.96,-0.58,0.27,0.22,0,0,1,2016.0
22.64,2.41,1.62,3.9,251.914,1015.0,-25.12,2.51,0.0,0.79,0.74,4890.0,11.3196,-0.2844,1,0,-2.29,-0.12,0.13,0.3,0.24,0,0,1,2015.0
2.23,1.32,0.97,1.28,547.1145,1232.2,-24.66,1.42,0.0,0.8,0.74,4924.0,11.2967,3.8664,2,0,-2.33,-0.16,-1.01,0.28,0.29,0,0,1,2015.0
4.24,2.8,0.19,0.54,93.7765,792.8,-24.37,5.34,0.0,0.8,0.74,4924.0,11.2967,3.8664,2,0,-2.22,2.48,-0.89,0.23,0.23,0,0,1,2015.0
4.54,1.61,1.08,1.74,213.617,974.0,-24.07,4.44,0.0,0.9,0.85,5413.0,16.23,-24.7869,3,0,-2.32,-0.15,-0.69,0.29,0.28,0,0,1,2015.0
3.97,2.74,0.19,0.53,130.448,861.0,-24.69,6.43,0.0,0.9,0.85,5413.0,16.23,-24.7869,3,0,-2.28,2.46,-0.94,0.22,0.23,0,0,1,2015.0
3.92,2.73,0.19,0.52,45.814890000000005,662.8,-23.54,14.09,0.0,0.9,0.85,5413.0,16.23,-24.7869,3,0,-2.17,2.46,-0.83,0.23,0.25,0,0,1,2015.0
3.88,1.55,1.05,1.63,466.4485,1184.0,-24.83,4.02,0.0,1.07,1.1,5757.0,16.0022,-23.1892,2,0,-2.38,-0.15,-0.84,0.28,0.28,0,0,1,2016.0
23.12,2.42,1.63,3.95,128.5021,857.8,-24.4,10.56,0.0,1.07,1.1,5757.0,16.0022,-23.1892,2,0,-2.3,-0.11,0.31,0.3,0.24,0,0,1,2016.0
10.88,2.03,1.31,2.65,121.9863,846.7,-23.96,1.29,0.0,0.53,0.51,3676.0,8.9237,10.4691,2,0,-2.13,-0.13,-0.19,0.32,0.26,0,0,1,2017.0
9.09,1.94,1.25,2.42,17.883960000000002,523.9,-21.76,5.44,0.0,0.53,0.51,3676.0,8.9237,10.4691,2,0,-1.9,-0.14,0.1,0.34,0.33,0,0,1,2017.0
32.11,4.26,0.42,1.77,243.2638,1006.2,-26.33,10.14,0.0,1.07,1.31,6120.0,8.4326,11.5111,1,0,-2.37,2.08,-0.06,0.24,0.17,0,0,1,2016.0
588.19,10.55,0.5,5.28,45.3294,661.1,-26.48,11.39,0.0,0.83,0.83,5027.0,8.5255,11.9223,1,0,-2.14,6.72,3.88,0.11,0.11,0,0,1,2017.0
10.64,2.02,1.3,2.62,21.85776,549.8,-22.07,14.68,0.1,0.8,0.73,4819.0,8.6896,18.9339,1,0,-2.01,-0.13,0.16,0.33,0.31,0,0,1,2016.0
16.46,2.24,1.46,3.28,20.39376,541.4,-22.22,2.64,0.0,0.36,0.35,3385.0,8.6685,19.0929,1,0,-1.91,-0.12,0.52,0.34,0.3,0,0,1,2017.0
27.02,6.12,0.12,0.72,102.7904,811.2,-26.18,19.49,0.0,1.18,1.38,6025.0,9.105,19.4022,1,0,-2.29,4.82,-0.3,0.16,0.14,0,0,1,2018.0
2.37,1.34,0.97,1.31,32.237320000000004,605.9,-21.61,9.92,0.1,0.77,0.71,4695.0,8.6704,19.7788,1,0,-2.07,-0.16,-0.69,0.31,0.33,0,0,1,2016.0
1.7,1.22,0.93,1.14,94.01603,793.3,-22.57,2.22,0.0,0.64,0.61,3903.0,8.4318,20.3596,1,0,-2.13,-0.17,-0.92,0.3,0.3,0,0,1,2017.0
2.58,1.38,0.99,1.36,198.0276,955.7,-23.64,0.96,0.0,0.58,0.55,3672.0,19.5889,-28.4978,1,0,-2.16,-0.16,-0.87,0.3,0.29,0,0,1,2017.0
323.98,12.26,0.18,2.15,257.586,1017.9,-28.71,6.57,0.12,1.0,0.99,5654.0,12.5425,-9.6076,1,0,-2.34,8.35,1.38,0.1,0.08,0,0,1,2017.0
