pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad
11 Com b,Radial Velocity,1,326.03000000,1.290000,0.231000,19.40000,,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,4742.00,2.70,19.00
11 UMi b,Radial Velocity,1,516.21997000,1.530000,0.080000,14.74000,,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,4213.00,2.78,29.79
14 And b,Radial Velocity,1,185.84000000,0.830000,0.000000,4.80000,,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,4813.00,2.20,11.00
14 Her b,Radial Velocity,1,1773.40002000,2.930000,0.370000,4.66000,,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,5338.00,0.90,0.93
16 Cyg B b,Radial Velocity,1,798.50000000,1.660000,0.680000,1.78000,,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,5750.00,1.08,1.13
18 Del b,Radial Velocity,1,993.30000000,2.600000,0.080000,10.30000,,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,4979.00,2.30,8.50
1RXS J160929.1-210524 b,Imaging,1,,330.000000,,8.00000,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,4060.00,0.85,
24 Boo b,Radial Velocity,1,30.35060000,0.190000,0.042000,0.91000,,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,4893.00,0.99,10.64
24 Sex b,Radial Velocity,2,452.80000000,1.333000,0.090000,1.99000,,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,5098.00,1.54,4.90
24 Sex c,Radial Velocity,2,883.00000000,2.080000,0.290000,0.86000,,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,5098.00,1.54,4.90
2MASS J01225093-2439505 b,Imaging,1,,52.000000,,24.50000,,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,3530.00,0.40,
2MASS J02192210-3925225 b,Imaging,1,,156.000000,,13.90000,1.440,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,3064.00,0.11,0.28
2MASS J04414489+2301513 b,Imaging,1,,15.000000,,7.50000,,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,,0.02,
2MASS J12073346-3932539 b,Imaging,1,,46.000000,,4.00000,,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.40,,0.02,
2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416.00000000,0.920000,,1.90000,,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,396.36,,0.48,
2MASS J21402931+1625183 A b,Imaging,1,7336.50000000,,0.260000,20.95000,0.920,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,2300.00,0.08,0.12
2MASS J22362452+4751425 b,Imaging,1,,230.000000,,12.50000,,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,74.00,4045.00,0.60,
30 Ari B b,Radial Velocity,1,335.10001000,0.990000,0.290000,13.82000,,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,6331.00,1.93,1.41
4 UMa b,Radial Velocity,1,269.30000000,0.870000,0.432000,7.10000,,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,4415.00,1.23,18.11
42 Dra b,Radial Velocity,1,479.10000000,1.190000,0.380000,3.88000,,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,4200.00,0.98,22.03
47 UMa b,Radial Velocity,3,1078.00000000,2.100000,0.032000,2.53000,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5892.00,1.03,1.23
47 UMa c,Radial Velocity,3,2391.00000000,3.600000,0.098000,0.54000,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5892.00,1.03,1.23
47 UMa d,Radial Velocity,3,14002.00000000,11.600000,0.160000,1.64000,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5892.00,1.03,1.23
51 Eri b,Imaging,1,,13.200000,,2.00000,,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,,1.75,
51 Peg b,Radial Velocity,1,4.23078500,0.052700,0.013000,0.47200,,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,5793.00,1.12,1.20
55 Cnc b,Radial Velocity,5,14.65152000,0.115227,0.003400,0.83060,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196.00,0.91,0.94
55 Cnc c,Radial Velocity,5,44.41750000,0.241376,0.020000,0.17140,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196.00,0.91,0.94
55 Cnc d,Radial Velocity,5,4825.00000000,5.503000,0.019000,3.87800,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5196.00,0.91,0.94
